SUCCESS SD CARD
Size of file: 71680	 e= 0
o = 1, err = 0
o = 1, err = 0
Size of file: 0	 e= 0
n_bytes = 512	 dt =1313
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =5
head = 1	 tail = 1n_bytes = 512	 dt =4
head = 2	 tail = 2n_bytes = 512	 dt =4
head = 3	 tail = 3n_bytes = 512	 dt =4
head = 0	 tail = 0n_bytes = 512	 dt =4
head = 1	 tail = 1n_bytes = 512	 dt =4
